ticker,date,time,headline,neg,neu,pos,compound
TSLA,2020-05-14,01:07PM,Tesla says employees who don't return to work could lose unemployment benefits,0.326,0.523,0.151,-0.4588
TSLA,2020-05-14,01:00PM,Elon Musk doubles down on his promise to 'own no house' by selling five more,0.126,0.743,0.131,0.0258
TSLA,2020-05-14,12:10PM,Jim Chanos Is Still Shorting Grubhub,0.0,1.0,0.0,0.0
TSLA,2020-05-14,11:47AM,Congress has not moved 'thoughtfully' through unemployment process: Steven Rattner,0.244,0.756,0.0,-0.4404
TSLA,2020-05-14,11:30AM,Stocks lower as unemployment claims top 36 million in 2 months,0.367,0.504,0.129,-0.5106
TSLA,2020-05-14,11:25AM,Bill Gates offers up an idea to help fight the coronavirus pandemic  AOC fires back with snarky response,0.122,0.751,0.127,0.0258
TSLA,2020-05-14,10:37AM,Why VectoIQ Stock Opened Lower Today,0.306,0.694,0.0,-0.296
TSLA,2020-05-14,10:12AM,"Dow Jones Falls Sharply, Signaling Coronavirus Stock Market Rally Sick Day Amid Heavy Jobless Claims",0.191,0.809,0.0,-0.5106
TSLA,2020-05-14,09:39AM,"Tesla Tells Workers It Is ""Well-Prepared"" to Operate Safely",0.0,0.714,0.286,0.4939
TSLA,2020-05-14,08:59AM,How Tesla tapped a tiny Canadian lab for battery breakthroughs,0.0,1.0,0.0,0.0
TSLA,2020-05-14,08:06AM,Exclusive: Tesla's secret batteries aim to rework the math for electric cars and the grid,0.0,0.903,0.097,0.128
TSLA,2020-05-14,08:04AM,How Tesla tapped a tiny Canadian lab for battery breakthroughs,0.0,1.0,0.0,0.0
TSLA,2020-05-14,06:48AM,Morgan Stanley Analyst Says Many Investors 'Absolutely Adore' Musk's Dominating Strategy,0.16,0.586,0.254,0.3462
TSLA,2020-05-14,06:43AM,"Coronavirus update: Global case tally tops 4.31 million as Russia sees spike in cases, Brazil and Mexico suffer deadliest day yet",0.136,0.736,0.128,-0.0516
TSLA,2020-05-14,06:05AM,Why Has VectoIQ Acquisition Stock Jumped 130% Since May 1?,0.0,1.0,0.0,0.0
TSLA,2020-05-14,05:18AM,Tesla starts building Long Range Model 3 cars at China plant,0.0,1.0,0.0,0.0
TSLA,2020-05-14,02:45AM,"Tesla Employees Who Choose To Stay Home Might Not Receive Unemployment Benefits, Internal Email Says",0.124,0.739,0.137,0.0572
TSLA,2020-05-14,12:12AM,Police Visit to Tesla Shows U.S. Confusion on Lockdown Loosening,0.196,0.804,0.0,-0.296
